,ID,Service,Rateper1000,Minorder,Maxorder,Description
0,587,Instagram Followers [Max 20K],3.60,20,20000,
1,588,Instagram Likes [Max 20K],1.20,20,20000,
2,589,Instagram Followers [Max 50K],3.60,20,50000,
3,590,Instagram Likes [Max 50K],1.20,20,50000,
4,745,✅ Twitter Hashtag Click [Super Instant][ Max 10k ],0.28,100,10000000,
5,591,Tik Tok Followers [30K][Real HQ]⭐️⭐️,5.28,5,30000,
6,592,Tik-Tok Followers [7K] [G30] [REAL] ⚡⭐,9.74,50,50000,
7,594,Tiktok Followers [7K] [R30] [1H - 200/Day] [REAL],10.55,50,55000,
8,595,TikTok Followers (lifetime Non Drop) (5-10k per Day)⭐️🤑,6.05,50,30000,
9,596,Tik Tok - Followers - Instant start ( Min 10 and 30k ) [ Recommended],7.09,20,30000,
10,597,TIK TOK FOLLOWERS - MIN 10 - MAX 15K - 30 days refill - Full URL,9.77,15,20000,
11,599,Tik-Tok Likes [7K] [G30] [REAL] ⚡,2.63,100,10000,
12,600,Tiktok Likes [7K] [R30] [1H - 200/Day] [REAL],10.55,50,55000,
13,602,Tik Tok Likes [7K] [6H - 200/D - R30],10.55,50,55000,
14,603,♛Tik Tok Likes + Views [30K][Real HQ]⭐️⭐️,5.28,5,30000,
15,604,♛TikTok Likes (Lifetime Non Drop) (3-5k Likes Per Day)⭐️🤑,5.67,50,30000,
16,605,♛TikTok Views [1M]⭐️⭐️,0.18,5,1000000,
17,606,♛Tik Tok Views [Max Unlimited]⭐️⭐️,0.03,100,100000000,
18,607,♛Tik Tok Views [Max Unlimited]⭐️⭐️,0.03,100,100000000,
19,608,Tik Tok Views [10M] [1H - 100M/D],0.02,1000,10000000,
20,609,Tiktok Views [10M] [1H - 50K/Day],0.05,100,10000000,
21,610,Tiktok Views[500K/day] [ NO refill ],0.02,1000,1000000000,
22,611,♛TikTok Views ⭐️🤑,5.36,100,25000,
23,612,♛TikTok Shares⭐️🤑,6.30,10,32928,
24,613,Tik Tok - Likes - Instant start ( Min 10 and Max 30k )[ Recommended],7.09,10,30000,
25,614,Tik Tok - Likes - Instant start ( Min 10 and Max 5k ),9.45,15,5000,
26,616,Tiktok Likes [10K] [INSTANT - FAST] [BOTS],1.61,100,10000,
27,617,Tiktok Likes [30K] [R30] [1H - 5K/Day],8.23,10,30000,
28,621,Tiktok - Views [ ULTRAFAST ] [ Max - UNLIMATED ] SUPER INSTANT,0.01,1000,1000000000,
